city,zip_code,longitude,latitude,city_id
Chimacum,98325,-122.77328,48.01182,1666447310850
Chinook,98614,-123.94534,46.27264,876173328388
Cinebar,98533,-122.49165,46.60409,1168231104518
Clallam Bay,98326,-124.26015,48.25371,257698037762
Clarkston,99403,-117.04556,46.41402,403726925827
Clayton,99110,-117.57228,47.99685,85899345922
Cle Elum,98922,-120.93943,47.195,163208757248
Clearlake,98235,-122.23452,48.46376,1305670057987
Clinton,98236,-122.35803,47.9796,1520418422786
Clyde Hill,98004,-122.1872,47.61001,17179869184
Colbert,99005,-117.35414,47.83743,197568495617
Colbert,99208,-117.45005,47.7333,1142461300738
Colfax,99111,-117.36477,46.87965,1623497637890
College Place,99324,-118.38864,46.03456,936302870530
Colton,99113,-117.12984,46.56801,240518168581
Colville,99114,-117.90454,48.54657,1262720385026
Conconully,98819,-119.75013,48.55781,1554778161154
Concrete,98237,-121.7515,48.53892,944892805122
Connell,99326,-118.86063,46.66146,1039382085634
Copalis Beach,98535,-124.16705,47.11487,1503238553601
Copalis Crossing,98536,-124.07463,47.11059,1322849927172
Cosmopolis,98537,-123.76897,46.9541,25769803777
Cougar,98616,-122.30857,46.04647,377957122049
Coulee City,99115,-119.28816,47.61233,1056561954818
Coulee Dam,99116,-118.97669,47.9708,661424963586
Coupeville,98253,-122.56817,48.08827,1649267441666
Coupeville,98239,-122.68558,48.21857,790273982465
Covington,98042,-122.09124,47.33778,51539607552
Cowiche,98923,-120.70979,46.65456,1700807049221
Creston,99117,-118.51906,47.75865,936302870533
Curlew,99118,-118.60061,48.88101,1039382085635
Curtis,98532,-122.96462,46.6621,558345748481
Curtis,98538,-123.13056,46.56094,1133871366146
Cusick,99119,-117.30443,48.33866,403726925829
Custer,98240,-122.64219,48.91865,25769803779
Dallesport,98635,-121.28544,45.6939,1219770712069
Dallesport,98617,-121.14532,45.61623,1176821039105
Danville,99121,-118.50797,48.99237,730144440324
Darrington,98241,-121.60421,48.25431,240518168579
Davenport,99122,-118.14913,47.65405,1486058684416
Dayton,99328,-117.97577,46.32189,1288490188803
Deer Harbor,98243,-123.00026,48.61989,214748364801
Deer Meadows,99122,-118.14913,47.65405,515396075520
Deer Park,99006,-117.47154,47.95431,472446402562
Deer Park,99003,-117.35237,47.89594,180388626434
Deer Park,99005,-117.35414,47.83743,652835028993
Deming,98244,-122.21723,48.82651,824633720834
Des Moines,98198,-122.3219,47.40173,704374636544
Des Moines,98032,-122.23741,47.3807,712964571139
Des Moines,98148,-122.32863,47.46233,1357209665537
Dixie,99329,-118.15568,46.14048,1606317768707
Dryden,98821,-120.55978,47.54128,850403524610
Dupont,98327,-122.62954,47.09583,1022202216449
Duvall,98072,-122.15545,47.75448,1503238553602
Duvall,98014,-121.91353,47.64901,876173328387
Duvall,98019,-121.98609,47.74068,910533066752
East Wenatchee,98802,-120.29473,47.41515,1468878815233
Easton,98925,-121.17954,47.2378,1357209665539
Eastsound,98245,-122.91109,48.69389,154618822657
Eatonville,98328,-122.26832,46.86733,137438953475
Edgewood,98371,-122.29521,47.19045,549755813889
Edgewood,98372,-122.28504,47.19434,1219770712064
Edmonds,98020,-122.37689,47.81116,1297080123392
Edmonds,98026,-122.31768,47.87166,1503238553600
Edmonds,98036,-122.29245,47.82557,1640677507073
Edwall,99008,-117.95109,47.50524,154618822658
